Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
HIST,4EME,novice,TC,5.207301721,3.860427851,4.722255395,4.778191059,1.5,0.0,1.5,0.056867726,,,41,nina4b
HIST,4EME,novice,TC,5.394582125,4.973531929,5.046112598,5.312366737,3.5,0.5,2.5,0.017985288,,,35,SAM4C
HIST,4EME,novice,TC,5.596576755,5.216003507,5.025389848,5.432101438,9.5,3.5,3.0,0.009432138,,,45,VIRG4C
HIST,3EME,expert,TC,5.50782485,4.403172015,5.144326636,5.216755561,3.5,0.0,4.5,0.028690185,,,19,ALE3A
HIST,3EME,expert,TC,5.153317808,4.91352246,4.147552664,4.982230516,4.0,0.0,1.0,0.142389292,,,45,ALI3C
HIST,3EME,expert,TC,5.209855347,4.858940026,4.697377571,5.08665875,3.0,0.0,2.0,0.040146938,,,33,ANAEL3A
HIST,3EME,expert,TC,5.577591745,4.270306091,4.996023254,5.070859476,2.0,0.5,1.5,0.040367954,,,45,Anna3B
HIST,3EME,expert,TC,4.678682233,3.832572775,3.942057684,4.191786248,1.0,0.0,1.0,0.228545309,,,45,CHLOE23
HIST,3EME,expert,TC,4.978833067,4.481471294,4.555251686,4.820956383,1.0,0.0,1.0,0.05569014,,,39,EMM23A
HIST,3EME,expert,TC,4.917203446,3.880041462,4.16121822,4.344028572,2.5,0.0,1.0,0.275957227,,,49,FAT23C
HIST,3EME,expert,TC,5.646339018,4.841340697,5.199511092,5.357378289,3.0,0.0,3.0,0.012633361,,,49,LIS3B
HIST,3EME,expert,TC,5.445337162,4.827272322,4.810669282,5.120080134,4.5,0.5,1.5,0.061857264,,,44,LUC3A
HIST,3EME,expert,TC,4.664970862,3.966282562,4.00479411,4.286995074,1.0,0.0,1.0,0.197804371,,,41,MAE23A
HIST,3EME,expert,TC,5.341083188,4.620916459,4.854433578,5.054214577,2.5,0.5,1.5,0.05592763,,,40,MAR3B
HIST,3EME,expert,TC,5.519642953,3.969672126,5.168605013,5.195240796,2.0,0.0,2.5,0.027130324,,,42,MAT3B
HIST,3EME,expert,TC,4.821847473,3.676327734,3.825101412,4.058084225,1.0,0.0,1.0,0.0,,,37,MATT3B
HIST,3EME,expert,TC,4.867137369,4.100887255,4.003180391,4.355805784,2.5,0.0,1.5,0.397081451,,,39,MEL3B
HIST,3EME,expert,TC,5.568642837,4.633710785,5.236363408,5.333154959,2.5,0.5,2.0,0.023211146,,,42,NICO3A
HIST,3EME,expert,TC,4.91970031,3.794139356,3.913283902,4.158814647,1.0,0.0,2.0,0.244200244,,,46,NICO3B
HIST,3EME,expert,TC,5.013296575,4.106275911,4.609759772,4.728256359,3.5,0.0,2.5,0.098242684,,,47,ROM3B
HIST,3EME,expert,TC,5.053191806,4.184748198,4.305534079,4.550356787,2.5,0.0,1.0,0.197936512,,,43,SAC3B
HIST,3EME,expert,TC,5.536763548,4.762843549,5.287369459,5.400933251,4.0,0.5,3.0,0.020639089,,,47,STE3A
HIST,3EME,expert,TC,5.509782315,4.936357891,5.216010109,5.399344848,5.5,1.0,4.0,0.024324834,,,44,TOM3A
HIST,4EME,novice,TC,5.487431107,4.839107073,5.072479671,5.272313964,7.0,1.0,3.0,0.008462922,,,40,ADA24A
